"Function","Actin Filament Network Formation","hsa-miR-34b"
"Function","Actin Filament Network Formation","hsa-miR-34a"
"Function","Actin Filament Network Formation","hsa-miR-34c"
"Function","Adipocyte Differentiation","hsa-let-7a-2"
"Function","Adipocyte Differentiation","hsa-let-7b"
"Function","Adipocyte Differentiation","hsa-let-7i"
"Function","Adipocyte Differentiation","hsa-miR-33b"
"Function","Adipocyte Differentiation","hsa-miR-221"
"Function","Adipocyte Differentiation","hsa-miR-320a"
"Function","Adipocyte Differentiation","hsa-miR-103a-2"
"Function","Adipocyte Differentiation","hsa-miR-20a"
"Function","Adipocyte Differentiation","hsa-miR-448"
"Function","Adipocyte Differentiation","hsa-let-7f-1"
"Function","Adipocyte Differentiation","hsa-let-7f-2"
"Function","Adipocyte Differentiation","hsa-miR-26b"
"Function","Adipocyte Differentiation","hsa-miR-17"
"Function","Adipocyte Differentiation","hsa-miR-92a-1"
"Function","Adipocyte Differentiation","hsa-let-7e"
"Function","Adipocyte Differentiation","hsa-miR-23a"
"Function","Adipocyte Differentiation","hsa-let-7a-3"
"Function","Adipocyte Differentiation","hsa-let-7d"
"Function","Adipocyte Differentiation","hsa-miR-378e"
"Function","Adipocyte Differentiation","hsa-miR-378g"
"Function","Adipocyte Differentiation","hsa-miR-103a-1"
"Function","Adipocyte Differentiation","hsa-miR-211"
"Function","Adipocyte Differentiation","hsa-miR-222"
"Function","Adipocyte Differentiation","hsa-miR-103b-2"
"Function","Adipocyte Differentiation","hsa-miR-103b-1"
"Function","Adipocyte Differentiation","hsa-miR-130a"
"Function","Adipocyte Differentiation","hsa-let-7g"
"Function","Adipocyte Differentiation","hsa-miR-378a"
"Function","Adipocyte Differentiation","hsa-miR-378b"
"Function","Adipocyte Differentiation","hsa-miR-137"
"Function","Adipocyte Differentiation","hsa-miR-204"
"Function","Adipocyte Differentiation","hsa-miR-378f"
"Function","Adipocyte Differentiation","hsa-miR-375"
"Function","Adipocyte Differentiation","hsa-miR-19a"
"Function","Adipocyte Differentiation","hsa-let-7a-1"
"Function","Adipocyte Differentiation","hsa-miR-27b"
"Function","Adipocyte Differentiation","hsa-miR-92a-2"
"Function","Adipocyte Differentiation","hsa-miR-27a"
"Function","Adipocyte Differentiation","hsa-miR-378c"
"Function","Adipocyte Differentiation","hsa-miR-192"
"Function","Adipocyte Differentiation","hsa-miR-143"
"Function","Adipocyte Lipolysis","hsa-miR-378e"
"Function","Adipocyte Lipolysis","hsa-miR-378g"
"Function","Adipocyte Lipolysis","hsa-miR-378f"
"Function","Adipocyte Lipolysis","hsa-miR-615"
"Function","Adipocyte Lipolysis","hsa-miR-145"
"Function","Adipocyte Lipolysis","hsa-miR-378a"
"Function","Adipocyte Lipolysis","hsa-miR-378c"
"Function","Adipocyte Lipolysis","hsa-miR-378b"
"Function","Adipogenesis","hsa-miR-125a"
"Function","Adipogenesis","hsa-miR-137"
"Function","Adipogenesis","hsa-miR-148a"
"Function","Adipogenesis","hsa-miR-188"
"Function","Adipogenesis","hsa-miR-194-2"
"Function","Adipogenesis","hsa-miR-140"
"Function","Adipogenesis","hsa-miR-24-1"
"Function","Adipogenesis","hsa-miR-204"
"Function","Adipogenesis","hsa-miR-26b"
"Function","Adipogenesis","hsa-miR-302a"
"Function","Adipogenesis","hsa-miR-455"
"Function","Adipogenesis","hsa-miR-29a"
"Function","Adipogenesis","hsa-miR-24-2"
"Function","Adipogenesis","hsa-let-7g"
"Function","Adipogenesis","hsa-miR-194-1"
"Function","Adipogenesis","hsa-miR-26a-1"
"Function","Adipogenesis","hsa-miR-26a-2"
"Function","Adipogenesis","hsa-miR-29c"
"Function","Adipogenesis","hsa-miR-363"
"Function","Adipogenesis","hsa-miR-122"
"Function","Adiponectin Signaling","hsa-miR-218-1"
"Function","Adiponectin Signaling","hsa-miR-218-2"
"Function","Adiponectin Signaling","hsa-miR-378a"
"Function","Adiponectin Signaling","hsa-miR-193b"
"Function","Aging","hsa-miR-590"
"Function","Aging","hsa-let-7a-2"
"Function","Aging","hsa-let-7b"
"Function","Aging","hsa-miR-34a"
"Function","Aging","hsa-miR-7-1"
"Function","Aging","hsa-miR-9-1"
"Function","Aging","hsa-miR-96"
"Function","Aging","hsa-miR-221"
"Function","Aging","hsa-let-7c"
"Function","Aging","hsa-miR-200c"
"Function","Aging","hsa-miR-126"
"Function","Aging","hsa-miR-7-3"
"Function","Aging","hsa-miR-148a"
"Function","Aging","hsa-miR-30d"
"Function","Aging","hsa-miR-194-2"
"Function","Aging","hsa-miR-181a-1"
"Function","Aging","hsa-miR-17"
"Function","Aging","hsa-miR-92a-1"
"Function","Aging","hsa-miR-543"
"Function","Aging","hsa-let-7e"
"Function","Aging","hsa-miR-194-1"
"Function","Aging","hsa-let-7a-3"
"Function","Aging","hsa-let-7d"
"Function","Aging","hsa-miR-16-1"
"Function","Aging","hsa-miR-22"
"Function","Aging","hsa-miR-31"
"Function","Aging","hsa-miR-30a"
"Function","Aging","hsa-miR-1248"
"Function","Aging","hsa-miR-30b"
"Function","Aging","hsa-miR-16-2"
"Function","Aging","hsa-miR-146a"
"Function","Aging","hsa-miR-146b"
"Function","Aging","hsa-miR-222"
"Function","Aging","hsa-miR-451a"
"Function","Aging","hsa-miR-451b"
"Function","Aging","hsa-miR-30e"
"Function","Aging","hsa-miR-26a-1"
"Function","Aging","hsa-miR-637"
"Function","Aging","hsa-miR-145"
"Function","Aging","hsa-miR-10a"
"Function","Aging","hsa-miR-100"
"Function","Aging","hsa-miR-18a"
"Function","Aging","hsa-miR-21"
"Function","Aging","hsa-miR-141"
"Function","Aging","hsa-miR-122"
"Function","Aging","hsa-miR-181b-2"
"Function","Aging","hsa-miR-223"
"Function","Aging","hsa-miR-9-3"
"Function","Aging","hsa-miR-7-2"
"Function","Aging","hsa-miR-9-2"
"Function","Aging","hsa-miR-195"
"Function","Aging","hsa-miR-204"
"Function","Aging","hsa-miR-15a"
"Function","Aging","hsa-miR-181b-1"
"Function","Aging","hsa-miR-511"
"Function","Aging","hsa-let-7a-1"
"Function","Aging","hsa-miR-144"
"Function","Aging","hsa-miR-151a"
"Function","Aging","hsa-miR-26a-2"
"Function","Aging","hsa-miR-155"
"Function","Aging","hsa-miR-92a-2"
"Function","Aging","hsa-miR-181a-2"
"Function","Aging","hsa-let-7g"
"Function","Angiogenesis","hsa-let-7b"
"Function","Angiogenesis","hsa-miR-19b-1"
"Function","Angiogenesis","hsa-miR-34a"
"Function","Angiogenesis","hsa-miR-486-2"
"Function","Angiogenesis","hsa-miR-133a-1"
"Function","Angiogenesis","hsa-miR-891a"
"Function","Angiogenesis","hsa-miR-221"
"Function","Angiogenesis","hsa-miR-1246"
"Function","Angiogenesis","hsa-miR-320a"
"Function","Angiogenesis","hsa-miR-20a"
"Function","Angiogenesis","hsa-miR-133b"
"Function","Angiogenesis","hsa-miR-126"
"Function","Angiogenesis","hsa-let-7f-1"
"Function","Angiogenesis","hsa-let-7f-2"
"Function","Angiogenesis","hsa-miR-17"
"Function","Angiogenesis","hsa-miR-190b"
"Function","Angiogenesis","hsa-miR-149"
"Function","Angiogenesis","hsa-miR-382"
"Function","Angiogenesis","hsa-miR-92a-1"
"Function","Angiogenesis","hsa-miR-486-1"
"Function","Angiogenesis","hsa-miR-129-1"
"Function","Angiogenesis","hsa-miR-134"
"Function","Angiogenesis","hsa-miR-22"
"Function","Angiogenesis","hsa-miR-16-1"
"Function","Angiogenesis","hsa-miR-19b-2"
"Function","Angiogenesis","hsa-miR-190a"
"Function","Angiogenesis","hsa-miR-31"
"Function","Angiogenesis","hsa-miR-30a"
"Function","Angiogenesis","hsa-miR-378e"
"Function","Angiogenesis","hsa-miR-378g"
"Function","Angiogenesis","hsa-miR-718"
"Function","Angiogenesis","hsa-miR-16-2"
"Function","Angiogenesis","hsa-miR-640"
"Function","Angiogenesis","hsa-miR-1275"
"Function","Angiogenesis","hsa-miR-146a"
"Function","Angiogenesis","hsa-miR-222"
"Function","Angiogenesis","hsa-miR-130a"
"Function","Angiogenesis","hsa-miR-184"
"Function","Angiogenesis","hsa-miR-145"
"Function","Angiogenesis","hsa-miR-370"
"Function","Angiogenesis","hsa-miR-378a"
